root - 2022-10-08 09:48:20,251 - INFO - 'function' object has no attribute 'info'
root - 2022-10-08 09:50:43,536 - INFO - reversed the list successfully
root - 2022-10-08 09:51:03,448 - INFO - reversed the list successfully
root - 2022-10-08 09:52:23,849 - INFO - reversed the list successfully
root - 2022-10-08 09:53:09,189 - INFO - failed to reversed the list
root - 2022-10-08 11:23:09,149 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:23:09,150 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:23:09,151 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:23:09,151 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:23:09,151 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:23:09,152 - INFO - Problem extracting integer second time
root - 2022-10-08 11:23:09,152 - INFO - Problem extracting integer second time
root - 2022-10-08 11:23:09,152 - INFO - Problem extracting integer second time
root - 2022-10-08 11:23:09,153 - INFO - Problem extracting integer second time
root - 2022-10-08 11:23:09,153 - INFO - Problem extracting integer second time
root - 2022-10-08 11:23:09,153 - INFO - Problem extracting integer second time
root - 2022-10-08 11:23:09,153 - INFO - Problem extracting integer second time
root - 2022-10-08 11:23:09,153 - INFO - Problem extracting integer second time
root - 2022-10-08 11:23:09,153 - INFO - Problem extracting integer second time
root - 2022-10-08 11:23:09,153 - INFO - Problem extracting integer second time
root - 2022-10-08 11:23:09,153 - INFO - Problem extracting integer second time
root - 2022-10-08 11:23:09,154 - INFO - Problem extracting integer second time
root - 2022-10-08 11:23:09,154 - INFO - Problem extracting integer second time
root - 2022-10-08 11:23:24,712 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:23:24,712 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:23:24,712 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:23:24,712 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:23:24,712 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:23:24,712 - INFO - Problem extracting integer second time
root - 2022-10-08 11:23:32,067 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:23:32,067 - INFO - integer extracted
root - 2022-10-08 11:28:39,734 - INFO - integer extracted
root - 2022-10-08 11:29:03,089 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:29:03,089 - INFO - Problem extracting integer second time
root - 2022-10-08 11:29:03,089 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:29:03,089 - INFO - Problem extracting integer second time
root - 2022-10-08 11:29:03,089 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:29:03,089 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:30:31,000 - INFO - Problem extracting integer second time
root - 2022-10-08 11:30:31,000 - INFO - Problem extracting integer second time
root - 2022-10-08 11:30:31,000 - INFO - Problem extracting integer second time
root - 2022-10-08 11:30:31,000 - INFO - Problem extracting integer second time
root - 2022-10-08 11:30:31,000 - INFO - Problem extracting integer second time
root - 2022-10-08 11:30:31,000 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:30:31,000 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:30:31,000 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:30:31,000 - INFO - Problem extracting integer second time
root - 2022-10-08 11:30:31,001 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:30:50,520 - INFO - Problem extracting integer second time
root - 2022-10-08 11:30:50,521 - INFO - Problem extracting integer second time
root - 2022-10-08 11:30:50,521 - INFO - Problem extracting integer second time
root - 2022-10-08 11:30:50,521 - INFO - Problem extracting integer second time
root - 2022-10-08 11:30:50,521 - INFO - Problem extracting integer second time
root - 2022-10-08 11:30:50,521 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:30:50,521 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:30:50,521 - INFO - Problem extracting integer first time 
root - 2022-10-08 11:30:50,521 - INFO - Problem extracting integer second time
root - 2022-10-08 11:30:50,521 - INFO - Problem extracting integer first time 
root - 2022-10-09 14:15:14,868 - INFO - reversed the list successfully
